node_id,sent_at_time,packet_type,forwarded
3,1555036258.1776,control,False
39,1555036219.8951225,control,False
39,1555036220.307533,control,False
39,1555036220.3295934,control,False
39,1555036220.401722,control,False
39,1555036239.915617,control,False
39,1555036239.9189644,control,False
39,1555036239.9191859,control,False
39,1555036240.3849866,control,True
39,1555036240.385191,control,True
39,1555036259.9371948,control,False
53,1555036220.3055792,control,False
53,1555036240.3260512,control,False
53,1555036260.3282547,control,False
9,1555036223.739608,control,False
19,1555036237.9887362,control,False
19,1555036238.1585398,control,False
19,1555036240.264558,control,False
19,1555036240.2690113,control,False
19,1555036240.269322,control,False
19,1555036240.2696002,control,False
19,1555036260.2865262,control,False
34,1555036220.2857788,control,False
34,1555036220.3071878,control,False
34,1555036220.3121958,control,False
34,1555036220.3871918,control,False
34,1555036240.3062606,control,False
34,1555036240.3099868,control,False
34,1555036240.3102207,control,False
34,1555036243.0725317,control,True
34,1555036243.0727367,control,True
34,1555036260.3279366,control,False
54,1555036220.3280168,control,False
54,1555036240.34849,control,False
54,1555036260.3504372,control,False
57,1555036220.3270993,control,False
57,1555036240.3475451,control,False
57,1555036260.3535724,control,False
31,1555036220.3338125,control,False
31,1555036220.3668776,control,False
31,1555036220.367664,control,False
31,1555036220.3867526,control,False
31,1555036238.9983313,control,False
31,1555036240.3542488,control,False
31,1555036240.3573253,control,False
31,1555036240.35755,control,False
31,1555036240.3577697,control,False
31,1555036260.375865,control,False
31,1555036260.3766704,control,False
55,1555036220.3559468,control,False
55,1555036240.3763683,control,False
55,1555036260.3973944,control,False
50,1555036220.3655484,control,False
50,1555036240.3859873,control,False
50,1555036260.406985,control,False
52,1555036220.3663213,control,False
52,1555036240.3871953,control,False
52,1555036260.409693,control,False
30,1555036220.3596282,control,False
30,1555036239.9173207,control,False
30,1555036240.111594,control,False
30,1555036240.3547633,control,False
30,1555036240.3782594,control,False
30,1555036240.3834774,control,False
30,1555036240.3837683,control,False
30,1555036260.3997674,control,False
30,1555036260.4005554,control,False
58,1555036220.3839676,control,False
58,1555036240.3909004,control,False
58,1555036260.4119434,control,False
59,1555036220.3018558,control,False
59,1555036240.320052,control,False
59,1555036260.3327668,control,False
47,1555036220.3829658,control,False
47,1555036240.3411555,control,False
47,1555036240.4034,control,False
47,1555036260.4246068,control,False
51,1555036220.385993,control,False
51,1555036240.34919,control,False
51,1555036240.4064136,control,False
51,1555036240.4101954,control,False
51,1555036260.417025,control,False
41,1555036220.3328097,control,False
41,1555036220.357277,control,False
41,1555036220.5844083,control,False
41,1555036240.353248,control,False
41,1555036240.3565574,control,False
41,1555036240.3568022,control,False
41,1555036240.3718226,control,True
41,1555036240.3720202,control,True
41,1555036240.385389,control,True
41,1555036240.3855884,control,True
41,1555036240.3864214,control,True
41,1555036240.3866265,control,True
41,1555036246.0589619,control,True
41,1555036246.059174,control,True
41,1555036260.3748558,control,False
46,1555036220.3594255,control,False
46,1555036240.3549724,control,False
46,1555036240.379887,control,False
46,1555036240.3837435,control,False
46,1555036260.4011757,control,False
44,1555036220.3835285,control,False
44,1555036240.403972,control,False
44,1555036260.4249668,control,False
48,1555036220.3187313,control,False
48,1555036240.3391993,control,False
48,1555036260.3516145,control,False
36,1555036220.583103,control,False
36,1555036221.0319812,control,False
36,1555036240.348351,control,False
36,1555036240.3771157,control,False
36,1555036240.3878238,control,False
36,1555036240.4077668,control,False
36,1555036240.603349,control,False
36,1555036240.6065965,control,False
36,1555036240.6067028,control,False
36,1555036240.6068168,control,False
36,1555036240.606964,control,False
36,1555036243.0723188,control,True
36,1555036243.072418,control,True
36,1555036243.0725255,control,True
36,1555036246.0585008,control,True
36,1555036246.0585978,control,True
36,1555036246.0586998,control,True
36,1555036260.6053054,control,False
36,1555036260.605707,control,False
49,1555036220.311105,control,False
49,1555036240.3315659,control,False
49,1555036260.3525126,control,False
45,1555036220.7401903,control,False
45,1555036240.7600102,control,False
45,1555036260.7672424,control,False
37,1555036220.7019937,control,False
37,1555036223.7403624,control,False
37,1555036240.3500226,control,False
37,1555036240.4091837,control,False
37,1555036240.722481,control,False
37,1555036240.7257226,control,False
37,1555036240.7259476,control,False
37,1555036240.7261767,control,False
37,1555036243.7045498,control,True
37,1555036243.7047524,control,True
37,1555036243.704948,control,True
37,1555036260.744235,control,False
37,1555036260.744997,control,False
60,1555036221.277391,control,False
60,1555036241.280643,control,False
60,1555036261.2920878,control,False
24,1555036223.6780334,control,False
24,1555036223.740341,control,False
24,1555036238.1498928,control,False
24,1555036238.1610754,control,False
24,1555036240.724172,control,False
24,1555036243.6814537,control,False
24,1555036243.7026145,control,False
24,1555036243.7028425,control,False
24,1555036263.703094,control,False
24,1555036263.7039046,control,False
32,1555036223.7385898,control,False
32,1555036238.158808,control,False
32,1555036240.327661,control,False
32,1555036240.333194,control,False
32,1555036240.3506815,control,False
32,1555036240.4079707,control,False
32,1555036243.753635,control,False
32,1555036243.7597144,control,False
32,1555036243.7599404,control,False
32,1555036243.7601738,control,False
32,1555036263.7593424,control,False
